id,airlineId,source_id,tgt_id,plane_id
167,3652.0,729.0,5599.0,SF3
168,3652.0,711.0,737.0,SF3
169,3652.0,711.0,644.0,SF3
172,146.0,3531.0,7162.0,BNI
177,146.0,7162.0,7161.0,BNI
180,897.0,6019.0,2397.0,DH4
181,897.0,4200.0,2397.0,320
182,897.0,2399.0,2397.0,320
183,897.0,2400.0,2397.0,320
184,897.0,6024.0,2397.0,DH4
185,897.0,2425.0,2397.0,320
186,897.0,8076.0,2397.0,
187,897.0,2402.0,2397.0,320
188,897.0,2430.0,2397.0,320
189,897.0,4203.0,2397.0,320
190,897.0,2397.0,6019.0,DH4
191,897.0,2397.0,4200.0,320
192,897.0,2397.0,2399.0,320
193,897.0,2397.0,2400.0,320
194,897.0,2397.0,6024.0,DH4
195,897.0,2397.0,2425.0,320
196,897.0,2397.0,8076.0,
197,897.0,2397.0,2402.0,320
198,897.0,2397.0,2430.0,320
199,897.0,2397.0,4203.0,320
200,897.0,2397.0,2426.0,DH3
201,897.0,2397.0,4204.0,320
202,897.0,2397.0,2433.0,320
203,897.0,2397.0,6026.0,320
204,897.0,2397.0,6016.0,DH4
205,897.0,2397.0,6021.0,DH4
206,897.0,2397.0,2404.0,320
207,897.0,2426.0,2397.0,DH3
208,897.0,4204.0,2397.0,320
209,897.0,2433.0,2397.0,320
210,897.0,6026.0,2397.0,320
211,897.0,6016.0,2397.0,DH4
212,897.0,6021.0,2397.0,DH4
213,897.0,2404.0,2397.0,320
214,1729.0,7376.0,4214.0,AT7
215,1729.0,7373.0,2531.0,AT7
216,1729.0,7373.0,2621.0,AT7
217,1729.0,2531.0,7373.0,AT7
218,1729.0,2531.0,7367.0,AT7
219,1729.0,2531.0,2613.0,AT7
220,1729.0,2535.0,2564.0,AT7
221,1729.0,2548.0,2562.0,AT7
222,1729.0,2548.0,7367.0,AT7
223,1729.0,2538.0,7380.0,AT7
224,1729.0,7380.0,2538.0,AT7
225,1729.0,7380.0,2564.0,AT7
226,1729.0,2560.0,2613.0,AT7
227,1729.0,2564.0,2535.0,AT7
228,1729.0,2564.0,7380.0,AT7
229,1729.0,2564.0,2613.0,AT7
230,1729.0,2564.0,2635.0,AT7
231,1729.0,2564.0,2633.0,AT7
232,1729.0,2564.0,6039.0,AT7
233,1729.0,2562.0,2548.0,AT7
234,1729.0,2562.0,4214.0,AT7
235,1729.0,2562.0,2613.0,AT7
236,1729.0,2562.0,2633.0,AT7
237,1729.0,7367.0,2531.0,AT7
238,1729.0,7367.0,2548.0,AT7
239,1729.0,2528.0,2613.0,AT7
240,1729.0,4214.0,7376.0,AT7
241,1729.0,4214.0,2562.0,AT7
242,1729.0,2613.0,2531.0,AT7
243,1729.0,2613.0,2560.0,AT7
244,1729.0,2613.0,2564.0,AT7
245,1729.0,2613.0,2562.0,AT7
246,1729.0,2613.0,2528.0,AT7
247,1729.0,2613.0,2619.0,AT7
248,1729.0,2613.0,2633.0,AT7
249,1729.0,2619.0,2613.0,AT7
250,1729.0,2621.0,7373.0,AT7
251,1729.0,2621.0,6039.0,AT7
252,1729.0,2635.0,2564.0,AT7
253,1729.0,2635.0,2633.0,AT7
254,1729.0,2633.0,2564.0,AT7
255,1729.0,2633.0,2562.0,AT7
256,1729.0,2633.0,2613.0,AT7
257,1729.0,2633.0,2635.0,AT7
258,1729.0,6039.0,2564.0,AT7
259,1729.0,6039.0,2621.0,AT7
282,595.0,248.0,1084.0,319
283,595.0,248.0,273.0,319
284,595.0,248.0,1063.0,319
285,595.0,1218.0,1050.0,319
286,595.0,1050.0,1218.0,319
287,595.0,1050.0,1084.0,319
288,595.0,1050.0,1059.0,319
289,595.0,4162.0,5665.0,319
290,595.0,1084.0,248.0,319
291,595.0,1084.0,1050.0,319
292,595.0,1084.0,897.0,319
293,595.0,1084.0,1059.0,319
294,595.0,1084.0,273.0,319
295,595.0,1084.0,5665.0,319
296,595.0,897.0,1084.0,319
297,595.0,897.0,273.0,319
298,595.0,1059.0,1050.0,319
299,595.0,1059.0,1084.0,319
300,595.0,1059.0,502.0,319
301,595.0,1059.0,1063.0,319
302,595.0,502.0,1059.0,319
303,595.0,273.0,248.0,319
304,595.0,273.0,1084.0,319
305,595.0,273.0,897.0,319
306,595.0,273.0,1063.0,319
307,595.0,5665.0,4162.0,319
308,595.0,5665.0,1084.0,319
309,595.0,1063.0,248.0,319
310,595.0,1063.0,1059.0,319
311,595.0,1063.0,273.0,319
376,5521.0,4119.0,2188.0,
377,5521.0,4119.0,2072.0,
378,5521.0,4119.0,5687.0,
379,5521.0,5687.0,4059.0,
380,5521.0,4059.0,5687.0,
381,3021.0,3885.0,3316.0,320
382,3021.0,3999.0,3316.0,320
383,3021.0,4120.0,3316.0,320
384,3021.0,3386.0,3316.0,320
385,3021.0,3077.0,3316.0,320
386,3021.0,3179.0,3316.0,320
387,3021.0,3992.0,2397.0,320
388,3021.0,3992.0,2276.0,320
389,3021.0,3304.0,3316.0,320
390,3021.0,2397.0,3992.0,320
391,3021.0,2397.0,3316.0,320
392,3021.0,3308.0,3316.0,320
393,3021.0,3351.0,3316.0,320
394,3021.0,3034.0,3316.0,320
395,3021.0,3035.0,3316.0,320
397,3021.0,3205.0,3316.0,320
398,3021.0,3316.0,3885.0,320
399,3021.0,3316.0,3999.0,320
400,3021.0,3316.0,4120.0,320
401,3021.0,3316.0,3386.0,320
402,3021.0,3316.0,3077.0,320
403,3021.0,3316.0,3179.0,320
404,3021.0,3316.0,3304.0,320
405,3021.0,3316.0,2397.0,320
406,3021.0,3316.0,3308.0,320
407,3021.0,3316.0,3351.0,320
408,3021.0,3316.0,3034.0,320
409,3021.0,3316.0,3035.0,320
411,3021.0,3316.0,3205.0,320
412,3021.0,3316.0,4302.0,320
413,3021.0,3316.0,2276.0,320
414,3021.0,4302.0,3316.0,320
415,3021.0,2276.0,3992.0,320
416,3021.0,2276.0,3316.0,320
417,2916.0,1679.0,1558.0,DH3
418,2916.0,338.0,1678.0,DH3
419,2916.0,345.0,382.0,DH3
420,2916.0,1558.0,1679.0,DH3
421,2916.0,1558.0,382.0,DH3
422,2916.0,1558.0,346.0,DH3
423,2916.0,1558.0,1678.0,DH3
424,2916.0,382.0,345.0,DH3
425,2916.0,382.0,1558.0,DH3
426,2916.0,382.0,342.0,AT7
427,2916.0,382.0,1520.0,AT7
428,2916.0,382.0,351.0,AT7
429,2916.0,382.0,1209.0,AT7
430,2916.0,3986.0,1561.0,AT7
431,2916.0,1609.0,1678.0,DH3
432,2916.0,342.0,382.0,AT7
433,2916.0,346.0,1558.0,DH3
434,2916.0,1561.0,3986.0,AT7
435,2916.0,1520.0,382.0,AT7
436,2916.0,1612.0,1678.0,DH3
437,2916.0,351.0,382.0,AT7
438,2916.0,1209.0,382.0,AT7
439,2916.0,1678.0,338.0,DH3
440,2916.0,1678.0,1558.0,DH3
441,2916.0,1678.0,1609.0,DH3
442,2916.0,1678.0,1612.0,DH3
554,5002.0,2895.0,2844.0,SH6
555,5002.0,2895.0,2848.0,SH6
556,5002.0,2896.0,2897.0,SH6
557,5002.0,2897.0,2895.0,SH6
558,5002.0,2844.0,2895.0,SH6
559,5002.0,2848.0,2895.0,SH6
560,3545.0,2966.0,4029.0,SU9
561,3545.0,2966.0,2948.0,SU9
562,3545.0,2980.0,4029.0,734
563,3545.0,4029.0,2966.0,SU9
564,3545.0,4029.0,2980.0,734
565,3545.0,4029.0,6156.0,SU9
566,3545.0,4029.0,6149.0,734
567,3545.0,4029.0,6153.0,734
568,3545.0,4029.0,6150.0,734
569,3545.0,4029.0,6485.0,734
570,3545.0,4029.0,2981.0,734
571,3545.0,4029.0,1743.0,SU9
572,3545.0,6156.0,4029.0,SU9
573,3545.0,6149.0,4029.0,734
