id,name,ascii_name,lat,lon,country,population
743,Arequipa,Arequipa,-16.420000,-71.530000,PE,815000
744,Liverpool,Liverpool,53.416000,-2.918000,GB,811000
745,Wuhu,Wuhu,31.350400,118.370000,CN,810000
746,Langfang,Langfang,39.520400,116.680000,CN,810000
747,Rājshāhi,Rajshahi,24.375000,88.605000,BD,810000
748,Zhaotong,Zhaotong,27.320400,103.720000,CN,809000
749,Culiacán,Culiacan,24.830000,-107.380000,MX,809000
750,Valencia,Valencia,39.485000,-0.400000,ES,808000
751,Lingyuan,Lingyuan,41.240000,119.401100,CN,806000
752,Cuiabá,Cuiaba,-15.569600,-56.085000,BR,806000
753,Quy Nhơn,Quy Nhon,13.780000,109.180000,VN,805290
754,Malang,Malang,-7.980000,112.610000,ID,805000
755,Alīgarh,Aligarh,27.892200,78.061800,IN,805000
756,L’viv,L'viv,49.835000,24.030000,UA,803880
757,Bordeaux,Bordeaux,44.850000,-0.595000,FR,803000
758,McAllen,McAllen,26.227300,-98.247100,US,800904
759,Baojishi,Baojishi,34.380000,107.150000,CN,800000
760,Pekanbaru,Pekanbaru,0.565000,101.425000,ID,799000
761,Oran,Oran,35.710000,-0.620000,DZ,798000
762,Yingkou,Yingkou,40.670300,122.280000,CN,795000
763,Bhiwandi,Bhiwandi,19.350000,73.130000,IN,795000
764,Liaoyang,Liaoyang,41.280000,123.180000,CN,794000
765,Chihuahua,Chihuahua,28.645000,-106.085000,MX,793000
766,Jammu,Jammu,32.711800,74.846700,IN,791000
767,Melaka,Melaka,2.206400,102.246500,MY,788706
768,Zaporizhzhya,Zaporizhzhya,47.857300,35.176800,UA,788000
769,Morādābād,Moradabad,28.841800,78.756800,IN,787000
770,Antalya,Antalya,36.890000,30.700000,TR,783000
771,Al Ḩudaydah,Al Hudaydah,14.797900,42.953000,YE,780000
772,Campo Grande,Campo Grande,-20.450000,-54.616600,BR,778000
773,Shaoxing,Shaoxing,30.000400,120.570000,CN,777000
774,Yichun,Yichun,47.699900,128.900000,CN,777000
775,Mangalore,Mangalore,12.900000,74.850000,IN,776632
776,Wuppertal,Wuppertal,51.250000,7.170000,DE,776525
777,Cheongju,Cheongju,36.643900,127.501200,KR,775096
778,Zamboanga City,Zamboanga City,6.920000,122.080000,PH,773000
779,Hamhŭng,Hamhung,39.910100,127.545400,KP,773000
780,Fuyang,Fuyang,30.053300,119.951900,CN,771000
781,Ilorin,Ilorin,8.490000,4.550000,NG,771000
782,Saarbrücken,Saarbrucken,49.250400,6.970000,DE,770001
783,Fuxin,Fuxin,42.010500,121.660000,CN,770000
784,Shiyan,Shiyan,32.570000,110.780000,CN,770000
785,Quetta,Quetta,30.220000,67.025000,PK,768000
786,Trujillo,Trujillo,-8.120000,-79.020000,PE,765171
787,Kananga,Kananga,-5.890000,22.400000,CD,765000
788,Trabzon,Trabzon,40.980000,39.720000,TR,764714
789,Jincheng,Jincheng,35.500400,112.830000,CN,760000
790,Albuquerque,Albuquerque,35.105300,-106.646400,US,758523
791,Łódź,Lodz,51.775000,19.451400,PL,758000
792,Kraków,Krakow,50.060000,19.960000,PL,756000
793,Saltillo,Saltillo,25.420000,-101.005000,MX,754000
794,São José dos Campos,Sao Jose dos Campos,-23.200000,-45.879900,BR,753769
795,Hŭngnam,Hungnam,39.823100,127.623200,KP,751322
796,Ta‘izz,Ta`izz,13.604500,44.039400,YE,751000
797,Pietermaritzburg,Pietermaritzburg,-29.610000,30.390000,ZA,750845
798,Tangier,Tangier,35.747300,-5.832700,MA,750060
799,Hsinchu,Hsinchu,24.816800,120.976700,TW,750000
800,Changhua,Changhua,24.073400,120.513400,TW,750000
801,Kolhāpur,Kolhapur,16.700000,74.220000,IN,750000
802,Farg‘ona,Farg`ona,40.390000,71.780000,UZ,750000
803,Namangan,Namangan,41.000000,71.670000,UZ,750000
804,Liège,Liege,50.630000,5.580000,BE,749110
805,Ciudad Guayana,Ciudad Guayana,8.370000,-62.620000,VE,746535
806,Birmingham,Birmingham,33.527700,-86.798700,US,744189
807,Hegang,Hegang,47.400000,130.370000,CN,743307
808,Naga City,Naga City,13.619200,123.181400,PH,741635
809,Gdańsk,Gdansk,54.360000,18.640000,PL,740000
810,Ansan,Ansan,37.348100,126.859500,KR,739493
811,Nuremberg,Nuremberg,49.450000,11.080000,DE,737304
812,Oyo,Oyo,7.850400,3.930000,NG,736072
813,Amrāvati,Amravati,20.950000,77.770000,IN,734451
